mtt,mu_pt,mu_abseta,weight,pileup
2446.167,286.80292,0.56311035,1.0,17.0
1583.9827,335.98352,0.4996338,1.0,20.0
1582.9768,174.27818,0.6604004,1.0,29.0
1840.1986,142.89392,0.15109253,1.0,23.0
1530.4778,143.76854,1.2028809,1.0,16.0
2329.1848,258.05362,1.619873,1.0,33.0
2174.6187,124.0366,0.1494751,1.0,15.0
2342.8916,289.1382,0.6710205,1.0,12.0
930.69135,102.43585,1.473877,1.0,10.0
1610.853,247.62012,0.5904541,1.0,25.0
1951.5227,178.49684,0.38104248,1.0,22.0
1962.8143,67.239975,1.2131348,1.0,26.0
2166.4924,68.70199,0.32751465,1.0,24.0
1799.4535,352.02756,1.157959,1.0,15.0
1750.1622,231.3864,0.09744263,1.0,16.0
1378.4381,104.03699,1.2558594,1.0,31.0
1798.0728,267.1378,0.5070801,1.0,24.0
1836.6654,395.1421,0.65844727,1.0,31.0
1636.5609,66.84264,0.7519531,1.0,28.0
2032.5905,140.55905,0.042770386,1.0,18.0
2204.5513,241.87216,0.59973145,1.0,24.0
2103.6965,233.65463,1.7097168,1.0,15.0
792.0063,237.44884,1.1655273,1.0,23.0
1920.4076,126.710335,0.3513794,1.0,21.0
1573.2555,168.47466,0.9030762,1.0,8.0
2223.7656,165.19702,0.57299805,1.0,21.0
2481.4973,586.8611,1.2060547,1.0,24.0
2085.055,205.8087,0.41973877,1.0,32.0
1852.089,239.98418,0.46411133,1.0,29.0
1547.1312,118.3792,1.697998,1.0,29.0
2376.2751,203.41574,0.83862305,1.0,36.0
2490.0344,379.46375,0.74645996,1.0,24.0
2607.4004,391.40518,1.0336914,1.0,15.0
1842.199,383.4507,1.7253418,1.0,15.0
1085.0453,82.29292,1.6149902,1.0,18.0
2157.432,131.38615,0.122421265,1.0,11.0
2081.5625,137.29715,0.7076416,1.0,18.0
1989.4697,153.4136,1.2075195,1.0,24.0
2529.068,61.082798,0.25561523,1.0,15.0
